,ordernumber,orderdate,requireddate,shippeddate,status,comments,orderdetails,city,phone,state,country,postalCode,creditLimit,addressLine1,addressLine2,customerName,contactLastName,contactFirstName,salesRepEmployeeNumber,customerNumber
10,10109,2003-03-10,2003-03-19,2003-03-11,Shipped,Customer requested that FedEx Ground is used for this shipping,"[{'priceEach': 117.48, 'productCode': 'S18_1129', 'quantityOrdered': 26}, {'priceEach': 137.98, 'productCode': 'S18_1984', 'quantityOrdered': 38}, {'priceEach': 126.72, 'productCode': 'S18_2870', 'quantityOrdered': 26}, {'priceEach': 160.87, 'productCode': 'S18_3232', 'quantityOrdered': 46}, {'priceEach': 125.74, 'productCode': 'S18_3685', 'quantityOrdered': 47}, {'priceEach': 32.1, 'productCode': 'S24_2972', 'quantityOrdered': 29}]",Philadelphia,2155559857,PA,USA,71270,72600.0,11328 Douglas Av.,,Motor Mint Distributors Inc.,Salazar,Rosa,1323.0,11
11,10110,2003-03-18,2003-03-24,2003-03-20,Shipped,,"[{'priceEach': 118.22, 'productCode': 'S18_1589', 'quantityOrdered': 37}, {'priceEach': 153.0, 'productCode': 'S18_1749', 'quantityOrdered': 42}, {'priceEach': 51.46, 'productCode': 'S18_2248', 'quantityOrdered': 32}, {'priceEach': 115.69, 'productCode': 'S18_2325', 'quantityOrdered': 33}, {'priceEach': 163.69, 'productCode': 'S18_2795', 'quantityOrdered': 31}, {'priceEach': 81.91, 'productCode': 'S18_4409', 'quantityOrdered': 28}, {'priceEach': 62.0, 'productCode': 'S18_4933', 'quantityOrdered': 42}, {'priceEach': 72.02, 'productCode': 'S24_1046', 'quantityOrdered': 36}, {'priceEach': 43.27, 'productCode': 'S24_1628', 'quantityOrdered': 29}, {'priceEach': 28.88, 'productCode': 'S24_1937', 'quantityOrdered': 20}, {'priceEach': 40.77, 'productCode': 'S24_2022', 'quantityOrdered': 39}, {'priceEach': 82.69, 'productCode': 'S24_2766', 'quantityOrdered': 43}, {'priceEach': 112.74, 'productCode': 'S24_2887', 'quantityOrdered': 46}, {'priceEach': 80.47, 'productCode': 'S24_3191', 'quantityOrdered': 27}, {'priceEach': 96.37, 'productCode': 'S24_3432', 'quantityOrdered': 37}, {'priceEach': 35.29, 'productCode': 'S24_3969', 'quantityOrdered': 48}]",Manchester,(171) 555-1555,,UK,EC2 5NT,136800.0,Fauntleroy Circus,,"AV Stores, Co.",Ashworth,Rachel,1501.0,12
12,10111,2003-03-25,2003-03-31,2003-03-30,Shipped,,"[{'priceEach': 87.33, 'productCode': 'S18_1342', 'quantityOrdered': 33}, {'priceEach': 48.52, 'productCode': 'S18_1367', 'quantityOrdered': 48}, {'priceEach': 53.09, 'productCode': 'S18_2957', 'quantityOrdered': 28}, {'priceEach': 94.25, 'productCode': 'S18_3136', 'quantityOrdered': 43}, {'priceEach': 91.27, 'productCode': 'S18_3320', 'quantityOrdered': 39}, {'priceEach': 85.7, 'productCode': 'S24_4258', 'quantityOrdered': 26}]",San Francisco,6505555787,CA,USA,94217,64600.0,5557 North Pendale Street,,Mini Wheels Co.,Murphy,Julie,1165.0,13
13,10112,2003-03-24,2003-04-03,2003-03-29,Shipped,"Customer requested that ad materials (such as posters, pamphlets) be included in the shippment","[{'priceEach': 197.16, 'productCode': 'S10_1949', 'quantityOrdered': 29}, {'priceEach': 85.1, 'productCode': 'S18_2949', 'quantityOrdered': 23}]",Luleå,0921-12 3555,,Sweden,S-958 22,53100.0,Berguvsvägen  8,,"Volvo Model Replicas, Co",Berglund,Christina ,1504.0,14
14,10113,2003-03-26,2003-04-02,2003-03-27,Shipped,,"[{'priceEach': 121.64, 'productCode': 'S12_1666', 'quantityOrdered': 21}, {'priceEach': 101.5, 'productCode': 'S18_1097', 'quantityOrdered': 49}, {'priceEach': 43.27, 'productCode': 'S18_4668', 'quantityOrdered': 50}, {'priceEach': 58.82, 'productCode': 'S32_3522', 'quantityOrdered': 23}]",San Rafael,4155551450,CA,USA,97562,210500.0,5677 Strong St.,,Mini Gifts Distributors Ltd.,Nelson,Susan,1165.0,15
15,10114,2003-04-01,2003-04-07,2003-04-02,Shipped,,"[{'priceEach': 128.53, 'productCode': 'S10_4962', 'quantityOrdered': 31}, {'priceEach': 106.78, 'productCode': 'S18_2319', 'quantityOrdered': 39}, {'priceEach': 53.48, 'productCode': 'S18_2432', 'quantityOrdered': 45}, {'priceEach': 169.34, 'productCode': 'S18_3232', 'quantityOrdered': 48}, {'priceEach': 105.34, 'productCode': 'S18_4600', 'quantityOrdered': 41}, {'priceEach': 102.23, 'productCode': 'S24_2300', 'quantityOrdered': 21}, {'priceEach': 28.64, 'productCode': 'S24_2840', 'quantityOrdered': 24}, {'priceEach': 88.61, 'productCode': 'S32_1268', 'quantityOrdered': 32}, {'priceEach': 43.83, 'productCode': 'S32_2509', 'quantityOrdered': 28}, {'priceEach': 82.94, 'productCode': 'S700_2824', 'quantityOrdered': 42}]",Paris,(1) 42.34.2555,,France,75012,84300.0,"265, boulevard Charonne",,"La Corne D'abondance, Co.",Bertrand,Marie,1337.0,16
16,10115,2003-04-04,2003-04-12,2003-04-07,Shipped,,"[{'priceEach': 111.39, 'productCode': 'S12_4473', 'quantityOrdered': 46}, {'priceEach': 140.81, 'productCode': 'S18_2238', 'quantityOrdered': 46}, {'priceEach': 56.64, 'productCode': 'S24_1444', 'quantityOrdered': 47}, {'priceEach': 106.45, 'productCode': 'S24_4048', 'quantityOrdered': 44}, {'priceEach': 100.7, 'productCode': 'S50_1392', 'quantityOrdered': 27}]",NYC,2125558493,NY,USA,10022,67500.0,5905 Pompton St.,Suite 750,Classic Legends Inc.,Hernandez,Maria,1286.0,17
17,10116,2003-04-11,2003-04-19,2003-04-13,Shipped,,"[{'priceEach': 60.28, 'productCode': 'S32_3207', 'quantityOrdered': 27}]",Charleroi,(071) 23 67 2555,,Belgium,B-6000,23500.0,"Boulevard Tirou, 255",,Royale Belge,Cartrain,Pascale ,1401.0,18
18,10117,2003-04-16,2003-04-24,2003-04-17,Shipped,,"[{'priceEach': 195.33, 'productCode': 'S12_1108', 'quantityOrdered': 33}, {'priceEach': 148.06, 'productCode': 'S12_3148', 'quantityOrdered': 43}, {'priceEach': 173.02, 'productCode': 'S12_3891', 'quantityOrdered': 39}, {'priceEach': 121.57, 'productCode': 'S18_3140', 'quantityOrdered': 26}, {'priceEach': 81.68, 'productCode': 'S18_3259', 'quantityOrdered': 21}, {'priceEach': 122.08, 'productCode': 'S18_4027', 'quantityOrdered': 22}, {'priceEach': 73.73, 'productCode': 'S18_4522', 'quantityOrdered': 23}, {'priceEach': 119.2, 'productCode': 'S24_2011', 'quantityOrdered': 41}, {'priceEach': 55.65, 'productCode': 'S50_1514', 'quantityOrdered': 21}, {'priceEach': 75.35, 'productCode': 'S700_1938', 'quantityOrdered': 38}, {'priceEach': 89.38, 'productCode': 'S700_3962', 'quantityOrdered': 45}, {'priceEach': 52.42, 'productCode': 'S72_3212', 'quantityOrdered': 50}]",Singapore,+65 221 7555,,Singapore,079903,103800.0,Bronz Sok.,Bronz Apt. 3/6 Tesvikiye,"Dragon Souveniers, Ltd.",Natividad,Eric,1621.0,19
19,10118,2003-04-21,2003-04-29,2003-04-26,Shipped,Customer has worked with some of our vendors in the past and is aware of their MSRP,"[{'priceEach': 86.15, 'productCode': 'S700_3505', 'quantityOrdered': 36}]",Barcelona,(93) 203 4555,,Spain,08022,60300.0,"Rambla de Cataluña, 23",,Enaco Distributors,Saavedra,Eduardo ,1702.0,20
20,10119,2003-04-28,2003-05-05,2003-05-02,Shipped,,"[{'priceEach': 112.88, 'productCode': 'S10_4757', 'quantityOrdered': 46}, {'priceEach': 151.38, 'productCode': 'S18_1662', 'quantityOrdered': 43}, {'priceEach': 74.84, 'productCode': 'S18_3029', 'quantityOrdered': 21}, {'priceEach': 95.28, 'productCode': 'S18_3856', 'quantityOrdered': 27}, {'priceEach': 64.4, 'productCode': 'S24_2841', 'quantityOrdered': 41}, {'priceEach': 72.58, 'productCode': 'S24_3151', 'quantityOrdered': 35}, {'priceEach': 63.12, 'productCode': 'S24_3420', 'quantityOrdered': 20}, {'priceEach': 82.18, 'productCode': 'S24_3816', 'quantityOrdered': 35}, {'priceEach': 62.1, 'productCode': 'S24_3949', 'quantityOrdered': 28}, {'priceEach': 57.34, 'productCode': 'S700_1138', 'quantityOrdered': 25}, {'priceEach': 74.23, 'productCode': 'S700_2047', 'quantityOrdered': 29}, {'priceEach': 67.22, 'productCode': 'S700_2610', 'quantityOrdered': 38}, {'priceEach': 63.67, 'productCode': 'S700_4002', 'quantityOrdered': 26}, {'priceEach': 40.22, 'productCode': 'S72_1253', 'quantityOrdered': 28}]",Salzburg,6562-9555,,Austria,5020,71700.0,Geislweg 14,,Salzburg Collectables,Pipps,Georg ,1401.0,21
21,10120,2003-04-29,2003-05-08,2003-05-01,Shipped,,"[{'priceEach': 118.94, 'productCode': 'S10_2016', 'quantityOrdered': 29}, {'priceEach': 158.8, 'productCode': 'S10_4698', 'quantityOrdered': 46}, {'priceEach': 82.79, 'productCode': 'S18_2581', 'quantityOrdered': 29}, {'priceEach': 57.54, 'productCode': 'S18_2625', 'quantityOrdered': 46}, {'priceEach': 110.45, 'productCode': 'S24_1578', 'quantityOrdered': 35}, {'priceEach': 93.01, 'productCode': 'S24_1785', 'quantityOrdered': 39}, {'priceEach': 72.36, 'productCode': 'S24_2000', 'quantityOrdered': 34}, {'priceEach': 71.73, 'productCode': 'S24_4278', 'quantityOrdered': 29}, {'priceEach': 94.9, 'productCode': 'S32_1374', 'quantityOrdered': 22}, {'priceEach': 68.79, 'productCode': 'S32_4289', 'quantityOrdered': 29}, {'priceEach': 41.46, 'productCode': 'S50_1341', 'quantityOrdered': 49}, {'priceEach': 91.34, 'productCode': 'S700_1691', 'quantityOrdered': 47}, {'priceEach': 81.77, 'productCode': 'S700_2466', 'quantityOrdered': 24}, {'priceEach': 106.79, 'productCode': 'S700_2834', 'quantityOrdered': 24}, {'priceEach': 72.0, 'productCode': 'S700_3167', 'quantityOrdered': 43}]",Melbourne,03 9520 4555,Victoria,Australia,3004,117300.0,636 St Kilda Road,Level 3,"Australian Collectors, Co.",Ferguson,Peter,1611.0,22
22,10121,2003-05-07,2003-05-13,2003-05-13,Shipped,,"[{'priceEach': 86.13, 'productCode': 'S10_1678', 'quantityOrdered': 34}, {'priceEach': 126.52, 'productCode': 'S12_2823', 'quantityOrdered': 50}, {'priceEach': 58.18, 'productCode': 'S24_2360', 'quantityOrdered': 32}, {'priceEach': 95.93, 'productCode': 'S32_4485', 'quantityOrdered': 25}, {'priceEach': 72.41, 'productCode': 'S50_4713', 'quantityOrdered': 44}]",Reims,26.47.1555,,France,51100,81100.0,59 rue de l'Abbaye,,Reims Collectables,Henriot,Paul ,1337.0,23
23,10122,2003-05-08,2003-05-16,2003-05-13,Shipped,,"[{'priceEach': 155.66, 'productCode': 'S12_1099', 'quantityOrdered': 42}, {'priceEach': 113.92, 'productCode': 'S12_3380', 'quantityOrdered': 37}, {'priceEach': 65.44, 'productCode': 'S12_3990', 'quantityOrdered': 32}, {'priceEach': 104.8, 'productCode': 'S12_4675', 'quantityOrdered': 20}, {'priceEach': 114.65, 'productCode': 'S18_1129', 'quantityOrdered': 34}, {'priceEach': 62.37, 'productCode': 'S18_1889', 'quantityOrdered': 43}, {'priceEach': 113.8, 'productCode': 'S18_1984', 'quantityOrdered': 31}, {'priceEach': 137.17, 'productCode': 'S18_3232', 'quantityOrdered': 25}, {'priceEach': 69.15, 'productCode': 'S18_3278', 'quantityOrdered': 21}, {'priceEach': 133.76, 'productCode': 'S18_3482', 'quantityOrdered': 21}, {'priceEach': 59.06, 'productCode': 'S18_3782', 'quantityOrdered': 35}, {'priceEach': 145.82, 'productCode': 'S18_4721', 'quantityOrdered': 28}, {'priceEach': 34.74, 'productCode': 'S24_2972', 'quantityOrdered': 39}, {'priceEach': 50.82, 'productCode': 'S24_3371', 'quantityOrdered': 34}, {'priceEach': 136.22, 'productCode': 'S24_3856', 'quantityOrdered': 43}, {'priceEach': 67.1, 'productCode': 'S24_4620', 'quantityOrdered': 29}, {'priceEach': 33.79, 'productCode': 'S32_2206', 'quantityOrdered': 31}]",Marseille,91.24.4555,,France,13008,65000.0,"12, rue des Bouchers",,Marseille Mini Autos,Lebihan,Laurence ,1337.0,24
24,10123,2003-05-20,2003-05-29,2003-05-22,Shipped,,"[{'priceEach': 120.71, 'productCode': 'S18_1589', 'quantityOrdered': 26}, {'priceEach': 114.84, 'productCode': 'S18_2870', 'quantityOrdered': 46}, {'priceEach': 117.26, 'productCode': 'S18_3685', 'quantityOrdered': 34}, {'priceEach': 43.27, 'productCode': 'S24_1628', 'quantityOrdered': 50}]",Nantes,40.32.2555,,France,44000,21000.0,"54, rue Royale",,Atelier graphique,Schmitt,Carine ,1370.0,25
25,10124,2003-05-21,2003-05-29,2003-05-25,Shipped,Customer very concerned about the exact color of the models. There is high risk that he may dispute the order because there is a slight color mismatch,"[{'priceEach': 153.0, 'productCode': 'S18_1749', 'quantityOrdered': 21}, {'priceEach': 58.12, 'productCode': 'S18_2248', 'quantityOrdered': 42}, {'priceEach': 111.87, 'productCode': 'S18_2325', 'quantityOrdered': 42}, {'priceEach': 75.46, 'productCode': 'S18_4409', 'quantityOrdered': 36}, {'priceEach': 66.28, 'productCode': 'S18_4933', 'quantityOrdered': 23}, {'priceEach': 62.47, 'productCode': 'S24_1046', 'quantityOrdered': 22}, {'priceEach': 30.53, 'productCode': 'S24_1937', 'quantityOrdered': 45}, {'priceEach': 36.29, 'productCode': 'S24_2022', 'quantityOrdered': 22}, {'priceEach': 74.51, 'productCode': 'S24_2766', 'quantityOrdered': 32}, {'priceEach': 93.95, 'productCode': 'S24_2887', 'quantityOrdered': 25}, {'priceEach': 76.19, 'productCode': 'S24_3191', 'quantityOrdered': 49}, {'priceEach': 101.73, 'productCode': 'S24_3432', 'quantityOrdered': 43}, {'priceEach': 36.11, 'productCode': 'S24_3969', 'quantityOrdered': 46}]",Las Vegas,7025551838,NV,USA,83030,71800.0,8489 Strong St.,,Signal Gift Stores,King,Jean,1166.0,26
26,10125,2003-05-21,2003-05-27,2003-05-24,Shipped,,"[{'priceEach': 89.38, 'productCode': 'S18_1342', 'quantityOrdered': 32}, {'priceEach': 138.38, 'productCode': 'S18_2795', 'quantityOrdered': 34}]",Melbourne,03 9520 4555,Victoria,Australia,3004,117300.0,636 St Kilda Road,Level 3,"Australian Collectors, Co.",Ferguson,Peter,1611.0,22
27,10126,2003-05-28,2003-06-07,2003-06-02,Shipped,,"[{'priceEach': 205.73, 'productCode': 'S10_1949', 'quantityOrdered': 38}, {'priceEach': 122.62, 'productCode': 'S10_4962', 'quantityOrdered': 22}, {'priceEach': 135.3, 'productCode': 'S12_1666', 'quantityOrdered': 21}, {'priceEach': 116.67, 'productCode': 'S18_1097', 'quantityOrdered': 38}, {'priceEach': 51.21, 'productCode': 'S18_1367', 'quantityOrdered': 42}, {'priceEach': 51.05, 'productCode': 'S18_2432', 'quantityOrdered': 43}, {'priceEach': 93.21, 'productCode': 'S18_2949', 'quantityOrdered': 31}, {'priceEach': 61.84, 'productCode': 'S18_2957', 'quantityOrdered': 46}, {'priceEach': 93.2, 'productCode': 'S18_3136', 'quantityOrdered': 30}, {'priceEach': 94.25, 'productCode': 'S18_3320', 'quantityOrdered': 38}, {'priceEach': 102.92, 'productCode': 'S18_4600', 'quantityOrdered': 50}, {'priceEach': 47.29, 'productCode': 'S18_4668', 'quantityOrdered': 43}, {'priceEach': 122.68, 'productCode': 'S24_2300', 'quantityOrdered': 27}, {'priceEach': 83.76, 'productCode': 'S24_4258', 'quantityOrdered': 34}, {'priceEach': 82.83, 'productCode': 'S32_1268', 'quantityOrdered': 43}, {'priceEach': 62.05, 'productCode': 'S32_3522', 'quantityOrdered': 26}, {'priceEach': 97.1, 'productCode': 'S700_2824', 'quantityOrdered': 45}]",Madrid,(91) 555 22 82,,Spain,28023,104600.0,"C/ Araquil, 67",,"Corrida Auto Replicas, Ltd",Sommer,Martín ,1702.0,27
28,10127,2003-06-03,2003-06-09,2003-06-06,Shipped,Customer requested special shippment. The instructions were passed along to the warehouse,"[{'priceEach': 193.25, 'productCode': 'S12_1108', 'quantityOrdered': 46}, {'priceEach': 140.5, 'productCode': 'S12_3148', 'quantityOrdered': 46}, {'priceEach': 169.56, 'productCode': 'S12_3891', 'quantityOrdered': 42}, {'priceEach': 100.73, 'productCode': 'S12_4473', 'quantityOrdered': 24}, {'priceEach': 140.81, 'productCode': 'S18_2238', 'quantityOrdered': 45}, {'priceEach': 114.14, 'productCode': 'S18_2319', 'quantityOrdered': 45}, {'priceEach': 149.02, 'productCode': 'S18_3232', 'quantityOrdered': 22}, {'priceEach': 126.39, 'productCode': 'S18_4027', 'quantityOrdered': 25}, {'priceEach': 50.86, 'productCode': 'S24_1444', 'quantityOrdered': 20}, {'priceEach': 34.3, 'productCode': 'S24_2840', 'quantityOrdered': 39}, {'priceEach': 107.63, 'productCode': 'S24_4048', 'quantityOrdered': 20}, {'priceEach': 46.53, 'productCode': 'S32_2509', 'quantityOrdered': 45}, {'priceEach': 60.9, 'productCode': 'S32_3207', 'quantityOrdered': 29}, {'priceEach': 111.12, 'productCode': 'S50_1392', 'quantityOrdered': 46}, {'priceEach': 55.65, 'productCode': 'S50_1514', 'quantityOrdered': 46}]",NYC,2125557413,NY,USA,10022,138500.0,4092 Furth Circle,Suite 400,Muscle Machine Inc,Young,Jeff,1286.0,28
